country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Odisha,Bhubaneswar,"Lingraj Mandir, Bhubaneswar - OSPCB","29-08-2025 13:00:00",20.240790,85.836784,PM10,9,41,26
India,Odisha,Bhubaneswar,"Lingraj Mandir, Bhubaneswar - OSPCB","29-08-2025 13:00:00",20.240790,85.836784,SO2,3,15,9
India,Odisha,Bhubaneswar,"Patia, Bhubaneswar - OSPCB","29-08-2025 13:00:00",20.34652,85.81630,PM2.5,10,25,16
India,Odisha,Bhubaneswar,"Patia, Bhubaneswar - OSPCB","29-08-2025 13:00:00",20.34652,85.81630,OZONE,16,46,29
India,Punjab,Khanna,"Kalal Majra, Khanna - PPCB","29-08-2025 13:00:00","30.736056 ",76.209694,PM10,17,95,54
India,Punjab,"Mandi Gobindgarh","RIMT University, Mandi Gobindgarh - PPCB","29-08-2025 13:00:00",30.649961,76.331442,CO,50,89,70
India,Punjab,Patiala,"Model Town, Patiala - PPCB","29-08-2025 13:00:00",30.349388,76.366642,PM2.5,12,30,19
India,Rajasthan,Sikar,"Radhakishan Pura, Sikar - RSPCB","29-08-2025 13:00:00",27.608912,75.153302,PM2.5,10,43,32
India,Rajasthan,Sikar,"Radhakishan Pura, Sikar - RSPCB","29-08-2025 13:00:00",27.608912,75.153302,PM10,20,90,46
India,Rajasthan,Sirohi,"Vedhaynath Colony, Sirohi - RSPCB","29-08-2025 13:00:00",24.885261,72.857549,NH3,NA,NA,NA
India,Rajasthan,Sirohi,"Vedhaynath Colony, Sirohi - RSPCB","29-08-2025 13:00:00",24.885261,72.857549,SO2,6,8,7
India,Rajasthan,Sirohi,"Vedhaynath Colony, Sirohi - RSPCB","29-08-2025 13:00:00",24.885261,72.857549,OZONE,3,58,14
India,Rajasthan,"Sri Ganganagar","Old City, Sri Ganganagar - RSPCB","29-08-2025 13:00:00",29.931624,73.864511,PM10,17,161,93
India,Rajasthan,Tonk,"Shastri Nagar, Tonk - RSPCB","29-08-2025 13:00:00",26.159933,75.780517,PM10,12,479,175
India,Rajasthan,Tonk,"Shastri Nagar, Tonk - RSPCB","29-08-2025 13:00:00",26.159933,75.780517,NO2,5,21,12
India,Rajasthan,Karauli,"Satyawati Vihar, Karauli - RSPCB","29-08-2025 13:00:00",26.506177,77.025989,CO,16,52,33
India,Rajasthan,Kota,"Dhanmandi, Kota - RSPCB","29-08-2025 13:00:00",25.164090,75.858137,NO2,16,51,28
India,Rajasthan,Kota,"Nayapura, Kota - RSPCB","29-08-2025 13:00:00",25.196024,75.855668,NH3,1,15,5
India,Rajasthan,Kota,"Shrinath Puram, Kota - RSPCB","29-08-2025 13:00:00",25.14389,75.821256,NH3,1,3,2
India,Rajasthan,Kota,"Shrinath Puram, Kota - RSPCB","29-08-2025 13:00:00",25.14389,75.821256,CO,66,98,83
India,Rajasthan,Nagaur,"Karni Colony, Nagaur - RSPCB","29-08-2025 13:00:00",27.213494,73.734444,PM2.5,23,58,40
India,Rajasthan,Nagaur,"Karni Colony, Nagaur - RSPCB","29-08-2025 13:00:00",27.213494,73.734444,SO2,1,7,4
India,Rajasthan,Jaipur,"RIICO Sitapura, Jaipur - RSPCB","29-08-2025 13:00:00",26.786682,75.827928,PM2.5,23,68,39
India,Rajasthan,Jaipur,"RIICO Sitapura, Jaipur - RSPCB","29-08-2025 13:00:00",26.786682,75.827928,OZONE,15,47,25
